raw_category_id,raw_name_en,raw_name_ar,parent_category_id,linked_product_count,normalized_name_en,method,group_id,proposed_canonical_slug,proposed_canonical_display_en,proposed_canonical_display_ar,confidence,needs_review,reviewer_decision,notes
3308,Weekend Offers,عروض الأجهزة الكهربائية,,24,weekend offers,singleton_unique,,weekend_offers,Weekend Offers,عروض الأجهزة الكهربائية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3309,Hair Care,منتجات العناية بالشعر,,28,hair care,exact_auto_merge,g6,hair_care,Hair Care,العناية بالشعر,100.0,False,,
3310,Fan Heater ,دفايات,,13,fan heater,singleton_unique,,fan_heater,Fan Heater ,دفايات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3311,Dental Care,العناية بالأسنان,,190,dental care,singleton_unique,,dental_care,Dental Care,العناية بالأسنان,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3312,Face & Body Skincare,منتجات العناية بالوجه والجسم والبشرة,,448,face & body skincare,singleton_unique,,face_body_skincare,Face & Body Skincare,منتجات العناية بالوجه والجسم والبشرة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3313,Beauty, منتجات الجمال ,,34,beauty,singleton_unique,,beauty,Beauty, منتجات الجمال ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3314,Ladies' Care,منتجات العناية للنساء,,224,ladies' care,singleton_unique,,ladies_care,Ladies' Care,منتجات العناية للنساء,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
4643,BBQ & Grills, مستلزمات الشواء,,77,bbq & grills,exact_auto_merge,g15,bbq_grills,BBQ & Grills, مستلزمات الشواء,100.0,False,,
4644,BBQ & Grills,شوايات ,,42,bbq & grills,exact_auto_merge,g15,bbq_grills,BBQ & Grills, مستلزمات الشواء,100.0,False,,
4645,Back to School,رجوع المدارس,,45,back to school,singleton_unique,,back_to_school,Back to School,رجوع المدارس,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5684,Fashion & Textiles,الملابس والمفروشات,,112,fashion & textiles,singleton_unique,,fashion_textiles,Fashion & Textiles,الملابس والمفروشات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5685,Oil,الزيت,,222,oil,singleton_unique,,oil,Oil,الزيت,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5686,"Butter , Oil & Ghee","الزبدة , الزيت و السمن",,259,"butter , oil & ghee",singleton_unique,,butter_oil_ghee,"Butter , Oil & Ghee","الزبدة , الزيت و السمن",100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5687,Rice,الأرز,,122,rice,exact_auto_merge,g16,rice,Rice,الأرز,100.0,False,,
5688,"Rice , Pasta & Noodles","الأرز , المكرونة و النودلز",,393,"rice , pasta & noodles",singleton_unique,,rice_pasta_noodles,"Rice , Pasta & Noodles","الأرز , المكرونة و النودلز",100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5689,Rice,أرز,,122,rice,exact_auto_merge,g16,rice,Rice,الأرز,100.0,False,,
5690,Canned Food,الطعام المعلب,,232,canned food,singleton_unique,,canned_food,Canned Food,الطعام المعلب,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5691,Tuna & Canned Seafood,التونة,,93,tuna & canned seafood,singleton_unique,,tuna_canned_seafood,Tuna & Canned Seafood,التونة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5692,Spreads,سبريد,,112,spreads,singleton_unique,,spreads,Spreads,سبريد,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5693,"Jams , Honey & Spreads",المربى والعسل والأطعمة القابلة للدهن,,318,"jams , honey & spreads",singleton_unique,,jams_honey_spreads,"Jams , Honey & Spreads",المربى والعسل والأطعمة القابلة للدهن,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5694,Sauces & Pastes,صلصة وصوصات,,428,sauces & pastes,singleton_unique,,sauces_pastes,Sauces & Pastes,صلصة وصوصات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5695,"Sauces, Dressings & Side Tables","الصوصات , السلطات , الأطباق الجانبية",,459,"sauces, dressings & side tables",singleton_unique,,sauces_dressings_side_tables,"Sauces, Dressings & Side Tables","الصوصات , السلطات , الأطباق الجانبية",100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5696,Sauces,صلصة وصوصات,,427,sauces,singleton_unique,,sauces,Sauces,صلصة وصوصات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5697,Canned Vegetables & Fruits ,خضراوات معلبة,,146,canned vegetables & fruits,singleton_unique,,canned_vegetables_fruits,Canned Vegetables & Fruits ,خضراوات معلبة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5698,Honey,عسل,,155,honey,singleton_unique,,honey,Honey,عسل,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5699,Pasta,المكرونة,,324,pasta,singleton_unique,,pasta,Pasta,المكرونة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5700,Cereals,الحبوب,,163,cereals,singleton_unique,,cereals,Cereals,الحبوب,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5701,Jams,مربي,,118,jams,singleton_unique,,jams,Jams,مربي,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5702,Tea,الشاي,,226,tea,singleton_unique,,tea,Tea,الشاي,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5703,Baking Supplies,مستلزمات الخبيز,,170,baking supplies,singleton_unique,,baking_supplies,Baking Supplies,مستلزمات الخبيز,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5704,Sugar & Baking Essentials,سكر ومستلزمات الخبيز,,297,sugar & baking essentials,singleton_unique,,sugar_baking_essentials,Sugar & Baking Essentials,سكر ومستلزمات الخبيز,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5705,Vinegar,الخل,,59,vinegar,singleton_unique,,vinegar,Vinegar,الخل,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5706,Desserts  ,مستلزمات الحلويات,,77,desserts,singleton_unique,,desserts,Desserts  ,مستلزمات الحلويات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5707,Powder Milk,لبن بودرة,,45,powder milk,singleton_unique,,powder_milk,Powder Milk,لبن بودرة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5708,Grocery,منتجات البقالة,,87,grocery,exact_auto_merge,g1,grocery,Grocery,منتجات البقالة,100.0,False,,
5709,Herbal & Hot Drinks,الأعشاب و المشروبات الساخنة,,158,herbal & hot drinks,singleton_unique,,herbal_hot_drinks,Herbal & Hot Drinks,الأعشاب و المشروبات الساخنة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5710,Soups,شوربة,,37,soups,singleton_unique,,soups,Soups,شوربة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5711,Sugar,السكر,,89,sugar,singleton_unique,,sugar,Sugar,السكر,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5712,Ghee,السمن,,94,ghee,singleton_unique,,ghee,Ghee,السمن,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5713,Beans ,فول ,,72,beans,singleton_unique,,beans,Beans ,فول ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5714,Noodles,النودلز,,58,noodles,singleton_unique,,noodles,Noodles,النودلز,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
7271,Nivea Offers,Nivea Offers,,34,nivea offers,singleton_unique,,nivea_offers,Nivea Offers,Nivea Offers,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10480,Ready Made Food,أطباق جاهزة,,138,ready made food,singleton_unique,,ready_made_food,Ready Made Food,أطباق جاهزة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10481,Fresh Food Deals,عروض المنتجات الطازجة,,2,fresh food deals,singleton_unique,,fresh_food_deals,Fresh Food Deals,عروض المنتجات الطازجة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10482,Frozen Seafood,مأكولات بحرية و سمك مجمد,,88,frozen seafood,singleton_unique,,frozen_seafood,Frozen Seafood,مأكولات بحرية و سمك مجمد,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10483,Protein Bars & Granola,بروتين بار و جرانولا,,23,protein bars & granola,singleton_unique,,protein_bars_granola,Protein Bars & Granola,بروتين بار و جرانولا,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10484,Frozen Beef,لحوم مجمدة,,118,frozen beef,singleton_unique,,frozen_beef,Frozen Beef,لحوم مجمدة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10485,Butter,الزبدة,,20,butter,exact_auto_merge,g12,butter,Butter,الزبدة,100.0,False,,
10486,Cat Food,طعام القطط,,66,cat food,singleton_unique,,cat_food,Cat Food,طعام القطط,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10487,Pets,منتجات الحيوانات الأليفة,,108,pets,singleton_unique,,pets,Pets,منتجات الحيوانات الأليفة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10488,Dog Food,طعام الكلاب,,52,dog food,singleton_unique,,dog_food,Dog Food,طعام الكلاب,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10489,Ice Cream,الايس كريم,,101,ice cream,singleton_unique,,ice_cream,Ice Cream,الايس كريم,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10490,Water Filters & Treatment,معالجة وفلاتر المياة,,7,water filters & treatment,singleton_unique,,water_filters_treatment,Water Filters & Treatment,معالجة وفلاتر المياة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
11671,Meat & Poultry ,لحوم ودواجن,,6,meat & poultry,exact_auto_merge,g11,meat_poultry,Meat & Poultry,لحوم ودواجن,100.0,False,,
11672,Meat,Meat,,3,meat,exact_auto_merge,g10,meat,Meat,اللحوم,100.0,False,,
11673,Ready Fresh Meals,وجبات فريش جاهزة,,9,ready fresh meals,singleton_unique,,ready_fresh_meals,Ready Fresh Meals,وجبات فريش جاهزة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
11674,Frozen Vegetables,خضراوات مجمدة,,172,frozen vegetables,singleton_unique,,frozen_vegetables,Frozen Vegetables,خضراوات مجمدة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
11675,Mango Festival,مهرجان المانجا,,12,mango festival,singleton_unique,,mango_festival,Mango Festival,مهرجان المانجا,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
11676,Oats,الشوفان,,34,oats,singleton_unique,,oats,Oats,الشوفان,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
11677,Cream,الكريمة,,17,cream,singleton_unique,,cream,Cream,الكريمة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
11678, Sham El-Nessim Celebration!, Sham El-Nessim Celebration!,,16,sham el-nessim celebration!,singleton_unique,,sham_el_nessim_celebration, Sham El-Nessim Celebration!, Sham El-Nessim Celebration!,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
16869,Tahina,الطحينة,,9,tahina,singleton_unique,,tahina,Tahina,الطحينة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
16870,Water Dispenser,مبردات مياة,,7,water dispenser,singleton_unique,,water_dispenser,Water Dispenser,مبردات مياة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
16871,Nuts & Seeds,المكسرات,,73,nuts & seeds,singleton_unique,,nuts_seeds,Nuts & Seeds,المكسرات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
16872,Nuts,المكسرات,,16,nuts,exact_auto_merge,g17,nuts,nuts,مكسرات,100.0,False,,
22978,Fresh Bakery,مخبوزات طازجة,,52,fresh bakery,singleton_unique,,fresh_bakery,Fresh Bakery,مخبوزات طازجة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
22979,Toast,خبز التوست,,34,toast,singleton_unique,,toast,Toast,خبز التوست,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
22980,Bread,عيش,,34,bread,exact_auto_merge,g5,bread,Bread,العيش,100.0,False,,
22981,nuts,مكسرات,,41,nuts,exact_auto_merge,g17,nuts,nuts,مكسرات,100.0,False,,
25415,Canned Meat,لحوم معلبة,,1,canned meat,singleton_unique,,canned_meat,Canned Meat,لحوم معلبة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
26947,Women,Women,,57,women,singleton_unique,,women,Women,Women,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
27951,SHOE ACCESSORIES,SHOE ACCESSORIES,,10,shoe accessories,fuzzy_candidate,g18,home_accessories,Home Accessories,اكسسوارات المنزل,93.8,True,reject,no parent-category signal available (parent_category_id NULL for all rows)
27952,Air conditioners,تكييفات هواء,,24,air conditioners,singleton_unique,,air_conditioners,Air conditioners,تكييفات هواء,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
27953,Air Fryer,Air Fryer,,7,air fryer,singleton_unique,,air_fryer,Air Fryer,Air Fryer,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
27954,Refrigerators & Freezers,الثلاجات & الفريزر,,32,refrigerators & freezers,singleton_unique,,refrigerators_freezers,Refrigerators & Freezers,الثلاجات & الفريزر,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
27955,EnaWalks,EnaWalks,,2,enawalks,singleton_unique,,enawalks,EnaWalks,EnaWalks,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
27956,Gluten Free,خالي من الجلوتين,,19,gluten free,singleton_unique,,gluten_free,Gluten Free,خالي من الجلوتين,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
29277,Test1 ,Test1 ,,38,test1,junk_excluded,,,,,,True,approve,
29278,"Sponges , Scrubbers & Gloves","الاسفنج , أدوات النظافة و القفازات",,14,"sponges , scrubbers & gloves",singleton_unique,,sponges_scrubbers_gloves,"Sponges , Scrubbers & Gloves","الاسفنج , أدوات النظافة و القفازات",100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
29279,Sounds ,Sounds ,,3,sounds,singleton_unique,,sounds,Sounds ,Sounds ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
31439,Stationary,الأدوات المكتبية,,55,stationary,singleton_unique,,stationary,Stationary,الأدوات المكتبية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
31440,Books,كتب,,17,books,singleton_unique,,books,Books,كتب,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
31441,Dishwashers,غسالة أطباق,,10,dishwashers,singleton_unique,,dishwashers,Dishwashers,غسالة أطباق,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
32297,Lactose Free,خالي من اللاكتوز,,3,lactose free,singleton_unique,,lactose_free,Lactose Free,خالي من اللاكتوز,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
32298,Pet Care,منتجات العناية بالحيوانات الأليفة,,25,pet care,singleton_unique,,pet_care,Pet Care,منتجات العناية بالحيوانات الأليفة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
34210,Kahk El Eid,كحك العيد ,,16,kahk el eid,singleton_unique,,kahk_el_eid,Kahk El Eid,كحك العيد ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
34211,Flash Sale,Flash Sale,,12,flash sale,singleton_unique,,flash_sale,Flash Sale,Flash Sale,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
40304,Frozen Meat,لحوم مجمدة,,7,frozen meat,fuzzy_candidate,g20,frozen_meat,Frozen Meat,لحوم مجمدة,95.7,True,approve,no parent-category signal available (parent_category_id NULL for all rows)
40305,Frozen Meats,اللحوم المجمدة,,7,frozen meats,fuzzy_candidate,g20,frozen_meat,Frozen Meat,لحوم مجمدة,95.7,True,approve,no parent-category signal available (parent_category_id NULL for all rows)
42669,Sea Food Deals,عروض السيفود,,1,sea food deals,singleton_unique,,sea_food_deals,Sea Food Deals,عروض السيفود,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
43821,Electronics,Electronics,,1,electronics,exact_auto_merge,g14,electronics,Electronics, الأجهزة المنزلية,100.0,False,,
43822,test2,test2,,89,test2,junk_excluded,,,,,,True,approve,
44921,Sandwiches ,سندويشات,,4,sandwiches,singleton_unique,,sandwiches,Sandwiches ,سندويشات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
44922,Organic Food,طعام أورجانيك,,2,organic food,singleton_unique,,organic_food,Organic Food,طعام أورجانيك,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
46025,Men,Men,,64,men,singleton_unique,,men,Men,Men,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
46026,Textiles,المفروشات,,12,textiles,singleton_unique,,textiles,Textiles,المفروشات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
48043,Healthy Snacks,السناكس الصحية,,79,healthy snacks,singleton_unique,,healthy_snacks,Healthy Snacks,السناكس الصحية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
50991,test,test,,13,test,junk_excluded,,,,,,True,approve,
50992,Ramadan Box,كرتونة رمضان,,4,ramadan box,singleton_unique,,ramadan_box,Ramadan Box,كرتونة رمضان,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
51989,Luggage & Accessories,شنط & اكسسوارات,,1,luggage & accessories,singleton_unique,,luggage_accessories,Luggage & Accessories,شنط & اكسسوارات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
52956,Deep Fryers,قلايات هوائية,,1,deep fryers,singleton_unique,,deep_fryers,Deep Fryers,قلايات هوائية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
53802,Receivers,ريسفيرات,,4,receivers,singleton_unique,,receivers,Receivers,ريسفيرات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
54728,Shami Cheese,جبنة شامي,,5,shami cheese,singleton_unique,,shami_cheese,Shami Cheese,جبنة شامي,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
56600,Mother's Day ,عيد الأم,,14,mother's day,singleton_unique,,mother_s_day,Mother's Day ,عيد الأم,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
56601,Nouri Offers,Nouri Offers,,21,nouri offers,singleton_unique,,nouri_offers,Nouri Offers,Nouri Offers,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
58670,Accessories ,Accessories ,,23,accessories,singleton_unique,,accessories,Accessories ,Accessories ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
59795,Hero,Hero,,3,hero,singleton_unique,,hero,Hero,Hero,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
59796,TEST,TEST,,13,test,junk_excluded,,,,,,True,approve,
60622,Donation,تبرعات,,1,donation,singleton_unique,,donation,Donation,تبرعات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
61303,Care&More Offers,Care&More Offers,,9,care&more offers,singleton_unique,,care_more_offers,Care&More Offers,Care&More Offers,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
61304,New Arrivals ,وصل حديثا,,121,new arrivals,singleton_unique,,new_arrivals,New Arrivals ,وصل حديثا,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
61305,Bobana Offers,Bobana Offers,,5,bobana offers,singleton_unique,,bobana_offers,Bobana Offers,Bobana Offers,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
61306,Signal Offers,Signal Offers,,4,signal offers,singleton_unique,,signal_offers,Signal Offers,Signal Offers,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
61307,missing images,missing images,,13,missing images,singleton_unique,,missing_images,missing images,missing images,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
61899,Halawet El Mouled,حلاوة المولد,,27,halawet el mouled,singleton_unique,,halawet_el_mouled,Halawet El Mouled,حلاوة المولد,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
